Serial-no,state,Active-cases,change,recovered,Recover-change,deaths,change in deaths,text
26,Odisha,1418,82,330545,224,1903,1,"Active-cases : 1418  , <br> new-cases-from-yesterday :  0 ,<br> total -recovered : 330545  <br>,people-recovered-from-yesterday :224  , <br> total-deaths: 1903,<br> deaths-from-yesterday : 1"
27,Puducherry,299,3,37830,32,643,0,"Active-cases : 299 ,<br>  new-cases-from-yesterday :  3 <br> , total -recovered : 37830 <br>,people-recovered-from-yesterday :32 ,<br>  total-deaths: 643 ,<br> deaths-from-yesterday : 0"
28,Punjab,2343,62,163438,227,5535,15,"Active-cases : 2343  ,  <br>new-cases-from-yesterday :  0 <br>, total -recovered : 163438 <br>,people-recovered-from-yesterday :227 , <br> total-deaths: 5535 ,<br> deaths-from-yesterday : 15"
29,Rajasthan,3934,143,309391,406,2756,2,"Active-cases : 3934  ,  <br>new-cases-from-yesterday :  0 , <br>total -recovered : 309391<br> ,people-recovered-from-yesterday :2406, <br> total-deaths: 2756 ,<br> deaths-from-yesterday : 2"
30,Sikkim,148,12,5783,17,131,0,"Active-cases : 148 ,  <br>new-cases-from-yesterday :  0 <br>, total -recovered : 5783  <br>,people-recovered-from-yesterday :17 , <br> total-deaths:131 , <br>deaths-from-yesterday : 0"
31,Tamil Nadu,5196,118,815516,705,12299,9,"Active-cases : 5196  ,  <br>new-cases-from-yesterday :  0 ,<br> total -recovered : 815516  <br>,people-recovered-from-yesterday :705, <br> total-deaths: 12299, <br>deaths-from-yesterday : 9"
32,Telengana,3781,139,287468,351,1586,2,"Active-cases : 3781  , <br> new-cases-from-yesterday :  0 <br>, total -recovered : 287468 <br>,people-recovered-from-yesterday :351 ,<br>  total-deaths: 1586 , <br>deaths-from-yesterday : 2"
33,Tripura,40,3,32911,0,391,0,"Active-cases : 40  ,<br>  new-cases-from-yesterday :  3 <br>, total -recovered : 32911<br> ,people-recovered-from-yesterday :0 , <br> total-deaths: 391  , <br>deaths-from-yesterday : 0"
34,Uttarakhand,1876,129,91852,287,1626,4,"Active-cases : 1876 , <br> new-cases-from-yesterday :  0 , <br>total -recovered : 91852 <br>,people-recovered-from-yesterday :287, <br> total-deaths: 1626 , <br>deaths-from-yesterday : 4"
35,Uttar Pradesh,7717,156,581509,345,8597,6,"Active-cases : 7717 , <br> new-cases-from-yesterday :  0 , <br>total -recovered : 581509<br> ,people-recovered-from-yesterday :345  ,<br>  total-deaths: 8597 , <br>deaths-from-yesterday : 6"
36,West Bengal,6565,110,550244,517,10089,9,"Active-cases : 6565 , <br> new-cases-from-yesterday :  0 , <br>total -recovered : 550244 <br>  ,people-recovered-from-yesterday :517  , <br> total-deaths: 10089 , <br>deaths-from-yesterday : 9 "
